ParticipantID,RL_ddm_DRMlinear,AI_ddm0_DRMlinear,AI_ddm1_DRMlinear,AI_ddm2_DRMlinear,AI_ddm3_DRMlinear
46080,-284.0271066298,-271.35896471196327,-268.7073128753189,-298.30611527730554,-269.1751727406764
53366,-278.19167066049846,-221.3583759525176,-224.42640622045553,-290.15568025376854,-221.78048814229652
3187,-158.8320895314302,-137.5751407451286,-140.4327331871794,-166.42820267312294,-136.25475689864487
68012,-343.5887753282522,-325.5214151056751,-325.6442497438981,-350.2253420217466,-324.1096093770271
9695,-267.48343192839764,-249.25557715485556,-247.64740865635787,-272.567191345939,-247.63837014205387
61120,-363.095039350793,-315.11566389606344,-317.7599735002977,-362.8597682071325,-314.9349535531492
4862,-258.1509970346998,-235.8243414297693,-235.40037794900235,-247.74331583542897,-238.3517324301709
55027,-112.02011226431478,-84.43270556334147,-82.59912007007817,-119.18136909600473,-81.91545418725687
99461,-192.6777527564767,-151.00212012099115,-150.02818979303078,-196.2653645684253,-149.101599776883
16691,-313.78767478171073,-322.74100238163965,-321.4434982442422,-324.9385741274154,-322.67869149915083
75759,-48.732790416464084,-15.349985095697903,-12.951396413100955,-51.412537250840415,-16.34688429489046
4936,-462.6882867917194,-452.90243725539875,-450.46398540545897,-466.64748750314266,-450.498944667313
17946,-242.73588923420772,-223.25244606233662,-220.60079358930705,-243.02604396583178,-222.2517801227092
33765,-168.79276245504883,-152.57982326496602,-153.8024738076155,-185.6915319440622,-154.88439505006892
92975,-271.04166518826906,-249.73856716688246,-247.5395486731333,-260.2354482263419,-261.4768120661186
97543,-297.697310406859,-288.22676131902296,-289.7872853702317,-298.3047769058091,-288.45839014979066
63520,-477.28496951689397,-481.32952409234093,-473.4138048715238,-480.8872785857436,-478.6506749243773
99845,-316.2337722291332,-296.1056790109881,-294.274401550731,-325.0865463248259,-311.35722399103685
57653,-148.276570970872,-113.82944264178346,-114.67309830864329,-149.6522305616756,-112.61394805838407
35102,-351.2321661814506,-357.01549053189757,-354.48848348057396,-355.913956308087,-356.36867779718665
23849,-230.9749434998521,-232.78896025482413,-230.13730833512176,-230.13730780475618,-230.13895750641564
88310,-321.7644121597465,-290.37717526261855,-300.00425017974646,-318.0172196101127,-302.74840887440126
10951,-70.28258734270273,-72.60761903593968,-70.5268702341146,-83.83652540352183,-69.95839315253038
