ParticipantID,NLL,Fitted_lr,Fitted_vsamp,Fitted_vps,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
46080,0.6760935092960452,0.0059212339985492,0.4246858749446964,0.29041351532671555,10.0,0.3385342886118844,0.2,0.8528931980270682,0.4062859998101414,1.3890190292383857,1.7278988195772866
53366,0.6558187953071472,1.1111426062364005,0.7605789350674232,0.6633961550470672,10.0,1.6433143008037439,0.26088807775183076,0.8173773390396812,0.3852532017868474,0.07766367357010888,0.032808451560787065
3187,0.3480390003304168,0.0021165089864372193,0.5285790876493438,0.4598877671716662,10.0,0.021388676748791913,0.2,0.8075895049084426,0.2879007005273951,10.0,3.1783944593611513
68012,0.8052458146304756,0.06984753382382178,0.5810075021441092,0.7065521081265648,9.998167969266301,0.46954864058382867,0.2258456594240347,0.933885138200101,0.1766812258687115,0.20943621979471275,0.12747873975528032
9695,0.612066335337422,0.007478255187213355,0.34561468603572426,0.8283702774731984,9.965788398621594,0.25180416744696854,0.2,0.8621323190762167,0.3019513140411247,0.7294544693766716,0.29360987557332063
61120,0.8366747354896445,0.007363678811091686,0.9,0.7449178305020349,8.89064779653166,0.03381307328673294,0.2,0.8976917547102571,0.32373343134730437,1.506689564365679,0.5707701619860485
4862,0.5503154012316755,0.1291989400953361,0.5872217230009219,0.9,1.0662088639225415,0.4213522092808417,0.38667561541693896,0.779649158110603,0.3460477669664594,0.9111632264692648,0.7025832375090049
55027,0.23050956357141636,0.011106269221386258,0.3199928482546707,0.7440186973566225,4.9675198478718805,0.3464545032240881,0.2,0.755977236760388,0.35202424294942947,1.5548077860493463,0.6079421857861861
99461,0.4222607960898754,1.0962122032934143,0.3380207820101771,0.6781962697732938,1.4850826612895554,0.04732248630150521,0.8,0.7337097103473361,0.3237612797831814,1.590475754123314,0.36458582488309044
16691,0.7423434069331343,9.378669896498897e-05,0.02004725261738396,0.5253079571851624,10.0,0.006006379090449613,0.29566492896374835,0.791452813778342,0.24917829287233625,10.0,6.40241127971268
75759,0.06193037987697772,1.3094373919307167,0.7017088850996782,0.7273477567454336,0.5825968649236728,2.380003746170535,0.2,0.8883291564680861,0.2346168351078911,0.24169424599850114,0.5578832779165661
4936,1.1528432470233232,0.6443760826449825,0.835570099712405,0.08221912761067754,0.0,0.005846660300720595,0.3058201858242674,0.9031602504052144,0.06153979933380024,10.0,6.679140279686842
17946,0.5385808940933742,0.0010437830595176004,0.699812248178514,0.5492162506179955,10.0,0.005368490400317049,0.2,0.8140142788188187,0.44040340366465547,10.0,4.452813971523618
33765,0.39595772986011657,0.0002721851892741339,8.710069236908215e-05,0.5279273320639915,0.13010794325468394,0.006900869021502308,0.7987240705053517,0.5844977057195905,0.31798575720187944,9.999960321208988,0.0
92975,0.5813903574279763,0.00014728571516983273,0.0002554670870518922,0.7846098475061916,0.18121592365668027,0.0,0.30536558615635667,0.7325153631858581,0.23688050552253445,5.348734369071716,2.7238905707266077
97543,0.6760901800137157,0.018407024409074064,0.9,0.8561964598200781,0.0,0.010136473093276348,0.28779107691298383,0.6811568512638966,0.26160766914007555,7.3665456195778445,3.7309335148225977
63520,1.1359892293825085,0.007145433891257036,0.044203829362620746,0.005179209155724767,0.5239808153329689,0.0,0.2,0.9148520802363287,0.19073663542909364,2.030556375897435,5.251186450505367
99845,0.7427114969764441,0.023448215083118656,0.51186351219251,0.9,0.6083672608397125,0.0,0.20513317538537296,0.7638157049926836,0.2966443845535293,0.47730468793276115,1.2583448493416345
57653,0.3063077264213438,0.0057205163486371835,0.19750308967204142,0.7793249943604663,10.0,0.0,0.3796983307955752,0.7268541109683817,0.35433713951250795,3.5051503828644606,0.8329150413009305
35102,0.8193965964372926,0.6380769362557827,0.8082356722176582,0.2514286090907814,0.07756440018672675,0.0,0.24287016589501004,0.942559726787801,0.2182161806706404,10.0,4.352489546443957
23849,0.50651936135438,0.7909634937594082,0.0,0.0,10.0,0.9731079131531558,0.2,1.0410572053430434,0.2007288626707912,0.20007734617624046,0.06322683697572462
88310,0.7251261071388491,0.06115550998129348,0.9,0.7555513943168779,0.006261551681182875,0.010750435919171037,0.2,0.7882079094536961,0.2857869416265696,10.0,7.082623070330578
10951,0.14258706682394648,0.03141152940661893,0.3545703073132693,0.5744209730657541,0.48224799397954327,0.09150057659772459,0.2,0.6942538554893196,0.30890142211990973,7.510868701602889,4.19160162704981
